game_id,sport,game_date,away,home,away_starter,home_starter,away_score,home_score,status
mlb-824787,mlb,2026-09-21,Toronto Blue Jays,Baltimore Orioles,Trey Yesavage,Shane Baz,3,0,live
mlb-824221,mlb,2026-09-21,Washington Nationals,Detroit Tigers,DJ Herz,River Ryan,0,2,live
mlb-823169,mlb,2026-09-21,Minnesota Twins,San Francisco Giants,Zebby Matthews,Blade Tidwell,,,preview
mlb-espn-401817027,mlb,2026-09-21,Toronto Blue Jays,Baltimore Orioles,,,3,0,live
mlb-espn-401817028,mlb,2026-09-21,Washington Nationals,Detroit Tigers,,,0,2,live
mlb-espn-401817029,mlb,2026-09-22,Minnesota Twins,San Francisco Giants,,,,,scheduled
nfl-espn-401872947,nfl,2026-09-22,New York Giants,Los Angeles Rams,,,,,scheduled
nfl-espn-401872932,nfl,2026-09-18,Detroit Lions,Buffalo Bills,,,31,41,final
nfl-espn-401872933,nfl,2026-09-20,Carolina Panthers,Atlanta Falcons,,,34,3,final
nfl-espn-401872937,nfl,2026-09-20,Minnesota Vikings,Chicago Bears,,,9,3,final
nfl-espn-401872939,nfl,2026-09-20,Philadelphia Eagles,Tennessee Titans,,,24,20,final
nfl-espn-401872946,nfl,2026-09-20,Pittsburgh Steelers,New England Patriots,,,3,20,final
nfl-espn-401872936,nfl,2026-09-20,Green Bay Packers,New York Jets,,,20,17,final
nfl-espn-401872935,nfl,2026-09-20,Cleveland Browns,Tampa Bay Buccaneers,,,23,19,final
nfl-espn-401872938,nfl,2026-09-20,New Orleans Saints,Baltimore Ravens,,,24,17,final
nfl-espn-401872934,nfl,2026-09-20,Cincinnati Bengals,Houston Texans,,,20,6,final
nfl-espn-401872940,nfl,2026-09-20,Jacksonville Jaguars,Denver Broncos,,,13,20,final
nfl-espn-401872941,nfl,2026-09-20,Las Vegas Raiders,Los Angeles Chargers,,,26,14,final
nfl-espn-401872944,nfl,2026-09-20,Washington Commanders,Dallas Cowboys,,,20,37,final
nfl-espn-401872943,nfl,2026-09-20,Seattle Seahawks,Arizona Cardinals,,,31,7,final
nfl-espn-401872942,nfl,2026-09-20,Miami Dolphins,San Francisco 49ers,,,13,35,final
nfl-espn-401872945,nfl,2026-09-21,Indianapolis Colts,Kansas City Chiefs,,,30,33,final
mlb-3e7090629723a062facffeca147d8c9d,mlb,2026-09-21,Washington Nationals,Detroit Tigers,,,,,scheduled
mlb-198233ed5390fadb40e84cac794551ab,mlb,2026-09-21,Toronto Blue Jays,Baltimore Orioles,,,,,scheduled
mlb-7294e99a67c70c66b6edecf9841d4f03,mlb,2026-09-22,Minnesota Twins,San Francisco Giants,,,,,scheduled
mlb-394e1e2b849c5b4eaf2b5984eaa74b79,mlb,2026-09-22,Tampa Bay Rays,New York Yankees,,,,,scheduled
mlb-7fafa79a573ac098f38c8c6c4293b93e,mlb,2026-09-22,Toronto Blue Jays,Baltimore Orioles,,,,,scheduled
mlb-e1693becb4cbacb4b30e46c1c960d9a5,mlb,2026-09-22,Washington Nationals,Detroit Tigers,,,,,scheduled
mlb-2ec6c946384087513c61f58aad6e082f,mlb,2026-09-22,Milwaukee Brewers,Philadelphia Phillies,,,,,scheduled
mlb-388cb001ef45b493163b9d37cf60f606,mlb,2026-09-22,St. Louis Cardinals,Pittsburgh Pirates,,,,,scheduled
mlb-3b4ceeb7bb4bee993b6876fead12eeba,mlb,2026-09-22,Cleveland Guardians,Boston Red Sox,,,,,scheduled
mlb-574050c10d1acc2da7baf72384eeaa11,mlb,2026-09-22,Tampa Bay Rays,New York Yankees,,,,,scheduled
mlb-0c17c76059d99e5bb249df6a7c540127,mlb,2026-09-22,Cincinnati Reds,Atlanta Braves,,,,,scheduled
mlb-82b37a47daa08ef041c888d37b999303,mlb,2026-09-22,Miami Marlins,Chicago Cubs,,,,,scheduled
mlb-ebb664c5095200280fa1b15540c2c88b,mlb,2026-09-22,Chicago White Sox,Kansas City Royals,,,,,scheduled
mlb-1cfde197827ecee7feb17929bf32793b,mlb,2026-09-23,New York Mets,Texas Rangers,,,,,scheduled
