id,game_id,sport,ts,book,away_ml,home_ml,snapshot_type
1,mlb-3e7090629723a062facffeca147d8c9d,mlb,2026-09-21T23:36:22.746389,fanduel,360,-530,open
2,mlb-3e7090629723a062facffeca147d8c9d,mlb,2026-09-21T23:36:22.746389,draftkings,372,-576,open
3,mlb-3e7090629723a062facffeca147d8c9d,mlb,2026-09-21T23:36:22.746389,betmgm,360,-500,open
4,mlb-3e7090629723a062facffeca147d8c9d,mlb,2026-09-21T23:36:22.746389,pinnacle,402,-559,open
5,mlb-198233ed5390fadb40e84cac794551ab,mlb,2026-09-21T23:36:22.746389,fanduel,-520,350,open
6,mlb-198233ed5390fadb40e84cac794551ab,mlb,2026-09-21T23:36:22.746389,draftkings,-478,322,open
7,mlb-198233ed5390fadb40e84cac794551ab,mlb,2026-09-21T23:36:22.746389,pinnacle,-103,-105,open
8,mlb-198233ed5390fadb40e84cac794551ab,mlb,2026-09-21T23:36:22.746389,betmgm,-425,300,open
9,mlb-7294e99a67c70c66b6edecf9841d4f03,mlb,2026-09-21T23:36:22.746389,fanduel,-130,110,open
10,mlb-7294e99a67c70c66b6edecf9841d4f03,mlb,2026-09-21T23:36:22.746389,pinnacle,-118,109,open
11,mlb-7294e99a67c70c66b6edecf9841d4f03,mlb,2026-09-21T23:36:22.746389,draftkings,-126,104,open
12,mlb-7294e99a67c70c66b6edecf9841d4f03,mlb,2026-09-21T23:36:22.746389,betmgm,-125,105,open
13,mlb-394e1e2b849c5b4eaf2b5984eaa74b79,mlb,2026-09-21T23:36:22.746389,fanduel,112,-132,open
14,mlb-394e1e2b849c5b4eaf2b5984eaa74b79,mlb,2026-09-21T23:36:22.746389,betmgm,105,-130,open
15,mlb-394e1e2b849c5b4eaf2b5984eaa74b79,mlb,2026-09-21T23:36:22.746389,draftkings,109,-131,open
16,mlb-394e1e2b849c5b4eaf2b5984eaa74b79,mlb,2026-09-21T23:36:22.746389,pinnacle,113,-125,open
