id,game_id,sport,ts,book,away_ml,home_ml,snapshot_type,commence_time
1,mlb-394e1e2b849c5b4eaf2b5984eaa74b79,mlb,2026-09-22T17:58:45.615376,fanduel,138,-178,open,2026-09-22T17:06:00Z
2,mlb-394e1e2b849c5b4eaf2b5984eaa74b79,mlb,2026-09-22T17:58:45.615376,betmgm,340,-475,open,2026-09-22T17:06:00Z
3,mlb-394e1e2b849c5b4eaf2b5984eaa74b79,mlb,2026-09-22T17:58:45.615376,draftkings,165,-219,open,2026-09-22T17:06:00Z
4,mlb-394e1e2b849c5b4eaf2b5984eaa74b79,mlb,2026-09-22T17:58:45.615376,pinnacle,119,-145,open,2026-09-22T17:06:00Z
5,mlb-7fafa79a573ac098f38c8c6c4293b93e,mlb,2026-09-22T17:58:45.615376,fanduel,102,-120,open,2026-09-22T22:36:00Z
6,mlb-7fafa79a573ac098f38c8c6c4293b93e,mlb,2026-09-22T17:58:45.615376,draftkings,102,-123,open,2026-09-22T22:36:00Z
7,mlb-7fafa79a573ac098f38c8c6c4293b93e,mlb,2026-09-22T17:58:45.615376,pinnacle,108,-117,open,2026-09-22T22:36:00Z
8,mlb-7fafa79a573ac098f38c8c6c4293b93e,mlb,2026-09-22T17:58:45.615376,betmgm,100,-120,open,2026-09-22T22:36:00Z
9,mlb-e1693becb4cbacb4b30e46c1c960d9a5,mlb,2026-09-22T17:58:45.615376,fanduel,134,-158,open,2026-09-22T22:41:00Z
10,mlb-e1693becb4cbacb4b30e46c1c960d9a5,mlb,2026-09-22T17:58:45.615376,draftkings,130,-157,open,2026-09-22T22:41:00Z
11,mlb-e1693becb4cbacb4b30e46c1c960d9a5,mlb,2026-09-22T17:58:45.615376,betmgm,135,-160,open,2026-09-22T22:41:00Z
12,mlb-e1693becb4cbacb4b30e46c1c960d9a5,mlb,2026-09-22T17:58:45.615376,pinnacle,138,-150,open,2026-09-22T22:41:00Z
13,mlb-2ec6c946384087513c61f58aad6e082f,mlb,2026-09-22T17:58:45.615376,fanduel,120,-142,open,2026-09-22T22:41:00Z
14,mlb-2ec6c946384087513c61f58aad6e082f,mlb,2026-09-22T17:58:45.615376,betmgm,118,-145,open,2026-09-22T22:41:00Z
15,mlb-2ec6c946384087513c61f58aad6e082f,mlb,2026-09-22T17:58:45.615376,draftkings,118,-142,open,2026-09-22T22:41:00Z
16,mlb-2ec6c946384087513c61f58aad6e082f,mlb,2026-09-22T17:58:45.615376,pinnacle,122,-133,open,2026-09-22T22:41:00Z
17,mlb-388cb001ef45b493163b9d37cf60f606,mlb,2026-09-22T17:58:45.615376,fanduel,144,-172,open,2026-09-22T22:41:00Z
18,mlb-388cb001ef45b493163b9d37cf60f606,mlb,2026-09-22T17:58:45.615376,betmgm,145,-175,open,2026-09-22T22:41:00Z
19,mlb-388cb001ef45b493163b9d37cf60f606,mlb,2026-09-22T17:58:45.615376,draftkings,143,-173,open,2026-09-22T22:41:00Z
20,mlb-388cb001ef45b493163b9d37cf60f606,mlb,2026-09-22T17:58:45.615376,pinnacle,151,-165,open,2026-09-22T22:41:00Z
21,mlb-3b4ceeb7bb4bee993b6876fead12eeba,mlb,2026-09-22T17:58:45.615376,fanduel,110,-130,open,2026-09-22T22:46:00Z
22,mlb-3b4ceeb7bb4bee993b6876fead12eeba,mlb,2026-09-22T17:58:45.615376,betmgm,105,-125,open,2026-09-22T22:46:00Z
23,mlb-3b4ceeb7bb4bee993b6876fead12eeba,mlb,2026-09-22T17:58:45.615376,draftkings,108,-131,open,2026-09-22T22:46:00Z
24,mlb-3b4ceeb7bb4bee993b6876fead12eeba,mlb,2026-09-22T17:58:45.615376,pinnacle,113,-122,open,2026-09-22T22:46:00Z
